Date / Period,Business Unit / Department,Revenue (Actual),Revenue (Budget / Forecast),Cost of Goods Sold (COGS),Gross Profit,Operating Expenses (OPEX),EBITDA,Net Income,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Balance,Accounts Receivable (AR),Accounts Payable (AP),Days Sales Outstanding (DSO),Days Payable Outstanding (DPO),Working Capital,Total Assets,Total Liabilities,Equity,Debt Outstanding,Debt-to-Equity Ratio,Current Ratio,Budget Variance (%),Year-over-Year Growth (%),Return on Equity (ROE),Return on Assets (ROA),Gross Margin %,Operating Margin %,EBITDA Margin %,Inventory Value,Inventory Turnover,Capital Expenditure (CapEx),Operational Expenditure (OpEx),Headcount,Cost per Employee,Sales Pipeline Value,Order Backlog
11/9/2021,Marketing,397630,438669,190791,277207,73357,7589,14616,74419,21268,-47655,424735,147958,138718,58,116,-74646,1112513,3626990,957915,1290050,0.22,1.38,-3.62,20.91,1.28,0.3,51.94,41.3,5.76,389511,4.58,167978,22451,300,61045,29922,396274
2/20/2015,IT,163340,148682,121432,135058,132117,189716,-3352,361563,228603,-23411,182136,191483,161384,45,31,151171,139095,3228665,2890579,868295,2.22,0.71,7.35,2.14,4.92,-1.61,34.87,43.05,18.41,212645,9.67,68506,105667,2431,189100,529305,165813
10/11/2020,Operations,435432,85093,68729,207377,107538,102686,93513,207793,274632,90602,772212,122207,175328,67,39,149168,4706485,3980512,1857318,1268386,2.24,2.58,15.1,-17.94,-4.22,-3.27,65.52,45.02,33.96,484545,1.26,149472,70622,595,52315,469602,168274
8/10/2021,Sales,179683,151454,81604,30953,19082,50498,17270,49000,275016,-43004,841207,188367,134758,92,119,-20156,3733159,1969099,1175319,824304,2.44,2.04,-16.93,-10.49,9.48,15.88,51.34,46.72,16.34,127157,1.21,164893,154851,1967,55518,621565,94863
1/30/2022,Sales,470382,251787,112590,17117,95322,154254,-2036,250046,90926,798,595556,164828,186717,18,89,274978,867848,1059773,1897263,29450,2.07,3.27,28.64,8.07,15.5,1.08,48.05,43.26,12.57,20913,9.35,151590,80987,381,45436,460992,23483
11/3/2021,Sales,320974,516092,20318,87736,132504,12345,105593,319130,146323,-38794,693277,150925,48669,117,45,180168,4084770,252149,2335979,1091751,2.24,2.16,12.47,1.11,-7.38,5.5,65.7,14.78,34.16,132404,9.83,177855,89421,1633,177521,168851,273547
5/6/2016,Finance,180033,156960,146549,25244,98871,89670,74784,317079,236722,-44613,38826,158733,72357,80,115,-77149,658446,224194,366893,1056667,1.59,3.07,17.8,-15.16,18.76,-2.23,27.36,10.41,22.8,308367,3.54,35082,73691,4722,65692,210622,66671
7/17/2023,IT,215102,241052,56012,264978,64362,22575,52584,43006,213534,14080,103448,66035,137811,20,11,123367,3583779,585595,564637,1755371,1.95,2.7,20.5,40.59,3.74,2.47,63.12,46.73,17.4,472166,6.24,157752,195402,4327,148461,116431,489609
3/5/2021,Finance,108064,362180,149627,163888,81077,153503,64334,314884,156886,44769,356118,185884,47717,11,99,174114,2680837,2580534,1632478,1177593,2.21,2.77,15.87,-15.08,0.3,5.52,40.7,27.07,9.95,472143,5.02,38885,131176,4083,31908,148922,368507
8/25/2022,Sales,112137,543301,195256,189959,18332,143662,69759,159451,68425,-37720,849331,100709,136068,84,105,287088,3480018,2968395,1554297,1619398,2.96,1.33,-6.27,39.17,8.98,9.11,70.08,11.47,20.09,201098,1.99,199895,138132,1816,160813,960955,360634
1/20/2022,Marketing,401457,476102,97489,233655,27606,102511,92533,161921,291255,-3980,104375,78947,103187,94,115,180930,1263684,2587299,852798,627684,2.05,3.43,21.48,2.45,1.7,-2.35,15.46,18.61,32.74,459438,4.03,104557,198200,3526,124570,847227,435524
8/29/2019,Sales,316199,378602,99942,138318,130844,15011,3832,175657,227996,49603,996802,66025,28598,91,48,86535,993582,3307547,1631693,1961863,2.96,1.11,21.34,-1.46,23.45,18.8,49.79,37.3,27.25,485111,9.48,44437,248965,2364,31177,422813,310454
5/30/2020,Operations,64389,93872,96926,247842,102468,169905,48119,169290,186502,36006,845166,36268,132403,18,99,143289,4645163,2321776,2973119,22083,0.46,1.13,-16.77,49.59,21.35,-2.8,66.8,15.29,29.45,61929,1.56,52585,172002,2708,118288,424882,447799
11/18/2018,IT,320322,209880,97725,122739,70392,26211,111937,36914,142509,89776,443795,103791,89690,64,107,153744,462588,3253062,2007205,569670,2.71,1.83,-23.65,0.22,-3.05,12.67,53.09,35.86,15.3,277498,2.07,110184,258911,1600,192127,685727,350112
9/21/2015,Sales,341710,68039,83220,140372,81744,22669,18519,321509,299561,61994,848245,161973,64979,16,83,-52169,3350421,2572786,2166433,247964,2.88,3.33,8.52,43.0,-9.49,14.17,69.96,29.12,31.15,398423,7.42,160167,217241,2998,164943,195445,264511
7/17/2022,HR,419080,64822,120515,56622,90687,82766,130293,358705,114475,-12759,764830,136293,32454,41,91,299520,339708,2283161,936033,599734,0.68,2.06,20.3,33.95,0.91,10.71,43.26,37.44,5.19,345971,2.14,65429,76700,2810,129736,517210,211690
10/21/2021,Sales,250860,264598,25748,176638,146298,61906,79430,89619,179267,3420,911160,29652,174443,30,97,-17013,4340648,1047410,252840,818284,2.42,1.56,-24.08,12.88,-1.57,9.02,52.29,14.62,14.84,265793,9.81,191091,163579,517,177424,737168,107997
2/6/2023,Sales,236565,103776,130069,150236,95965,111109,69125,138444,152327,10060,934027,139162,99745,95,87,-27682,2900008,2833338,1719716,894535,0.43,0.83,2.66,20.02,17.55,5.62,14.14,22.43,12.11,264168,2.86,174812,208895,449,22866,620419,362294
1/3/2015,Marketing,285068,483202,197823,38450,74571,182759,52626,181333,179205,-37406,112762,158758,21415,34,92,232396,3748192,410857,2405898,246094,0.2,2.87,6.07,1.66,14.86,13.13,22.67,18.62,16.29,262621,2.8,117840,148458,574,122975,556122,246881
7/8/2017,HR,141462,275478,62660,45329,43738,137173,65670,260943,269700,232,858503,15480,84111,46,54,260645,2830096,2026777,2386126,400839,2.25,2.08,-10.61,39.36,17.37,-2.01,74.08,15.56,34.12,62032,7.99,7192,24801,2785,169658,851940,384162
8/10/2020,Operations,132611,454310,181936,62100,118121,124302,126384,341944,279228,61330,960688,29981,63611,13,108,29288,3730731,2242256,154840,464893,0.63,2.9,4.17,49.74,22.21,18.85,76.52,28.58,27.45,45030,2.28,54919,237371,1738,166927,701486,147778
4/17/2024,Finance,148578,244206,155246,247239,34826,142950,105344,77649,245047,69928,886663,73902,154682,30,23,197909,3154245,1792527,754578,53483,2.19,2.4,20.03,-13.74,-0.67,12.53,62.33,13.76,22.46,309636,9.32,178380,167699,593,119446,34667,476422
6/16/2022,Sales,317643,330214,36496,299326,54569,24238,124800,237194,143174,-6572,254167,47343,143483,111,62,46853,120892,2549873,2238202,203929,1.97,1.53,1.74,-6.48,4.49,-0.5,44.7,23.99,20.59,210523,3.14,47542,43958,4127,81763,873736,122493
3/4/2024,Finance,454046,165647,115421,10676,78714,50197,129136,275619,246097,-3845,963089,57141,8335,91,28,214442,1727581,1999136,633582,849221,2.29,1.67,23.91,3.37,4.26,3.28,74.21,48.38,7.39,301578,8.78,141333,169275,4324,23483,259048,324743
12/9/2016,Sales,351598,112790,87173,142153,65249,139015,27487,116226,247763,42395,684919,99530,193967,109,46,236663,2977667,1884452,915655,983932,0.93,0.67,-14.45,35.69,-5.48,6.58,33.35,8.86,19.24,287386,3.75,71967,65766,3645,43656,513347,311755
10/4/2015,HR,84346,338121,148889,52757,100496,173075,125059,220610,59860,-6802,759380,48589,22585,105,80,214044,2336725,3929927,1739555,1955362,0.51,2.18,20.7,1.9,1.58,-4.93,68.83,30.91,21.81,273276,9.31,48782,233783,2907,127992,583724,434055
7/6/2023,Marketing,262898,160640,97710,242266,114438,180752,137995,318475,228735,66436,146511,164566,39731,101,93,227758,1549606,3116810,707600,1567454,1.77,3.29,-10.99,39.45,3.55,0.65,77.69,16.06,9.21,68909,4.62,38927,74956,3554,52922,491767,122561
3/5/2024,IT,332534,344209,28732,39889,21124,151292,149431,339958,267675,-11147,375111,112274,107241,115,68,-71503,2802030,3430400,871603,1343333,1.38,2.66,10.93,-17.36,7.65,7.3,12.08,37.05,38.71,93513,5.95,136601,60486,1514,79051,440354,268502
5/5/2019,Operations,132723,140369,93719,148856,54640,122799,-19564,32481,298986,85177,99372,6019,137487,46,62,119566,1614837,423650,756681,1708964,0.75,0.54,24.85,36.51,10.24,3.43,40.65,23.31,19.74,339367,7.66,14555,261175,2690,194590,677165,267668
3/29/2017,Sales,181143,99615,140051,298697,145579,47071,45228,247131,91947,96695,401924,136408,131860,44,60,-34746,2150423,951765,2347933,83122,1.35,1.63,-11.64,18.26,22.14,5.04,34.53,27.69,23.84,399149,1.3,67116,290625,4672,98316,263806,108401
10/21/2022,Operations,322720,163481,153246,154471,59127,132385,115100,89207,125745,-8733,202290,114456,144040,33,114,39010,2838613,2087710,648715,17109,2.4,2.81,28.87,34.29,11.04,-4.73,41.86,8.76,24.0,174138,4.46,111819,197332,3537,116806,352481,330768
11/1/2019,Finance,293941,326318,70845,125727,109156,8151,-3522,119086,50790,32652,350919,34589,112034,73,44,27431,3902413,1790832,2495514,242073,2.27,0.6,7.62,11.2,6.12,11.26,15.2,6.75,36.22,74245,7.47,154267,68580,4027,41769,571043,122034
7/21/2015,Marketing,323599,187278,65073,271003,94668,125546,50241,54005,156771,23048,639074,48203,141186,114,26,113839,291455,219017,2554296,1363175,1.06,3.09,-2.0,5.83,-9.5,18.18,69.94,22.72,10.62,91890,7.83,101000,159523,521,126109,143392,42688
11/12/2017,HR,118681,293396,159412,116156,31117,10038,18219,105315,263335,93317,968160,176364,141534,47,56,12014,2057885,471246,1546165,768154,0.95,3.21,-4.52,-8.2,23.5,13.74,15.51,19.2,29.4,456741,6.14,176083,17932,4932,127634,325867,407264
7/29/2022,Sales,158637,323214,98617,17502,37647,85913,4490,62386,299866,-22906,792138,148811,133195,91,101,207534,1592087,1304441,2628519,1694810,2.76,2.9,-20.74,-2.11,11.78,-1.99,52.43,41.95,22.78,96775,7.39,91360,90399,1281,140769,362984,42787
11/22/2019,IT,295818,236220,124780,137005,64250,199076,30664,75987,73915,88025,127003,154102,46077,100,73,69423,4103228,2089665,2736806,1367720,2.82,2.16,23.1,8.29,3.51,15.7,33.24,20.96,28.74,178901,6.62,93376,299897,1007,121292,262437,326261
10/18/2023,Marketing,379471,499410,137400,44298,121552,147828,128520,242544,256714,78209,981310,127235,82351,105,54,136244,874343,3812263,2746563,1255679,0.38,1.6,-4.56,38.31,5.69,3.34,39.08,31.52,29.87,43051,6.22,70560,112754,2859,70108,451190,240557
6/14/2015,HR,350804,528146,126489,135424,67905,98451,24326,301584,103613,-18762,726105,15134,78104,77,55,111088,467884,2261979,2942204,796621,2.12,2.09,-22.82,33.11,18.7,5.62,54.29,12.79,22.98,94321,7.64,68131,95427,3059,69375,973442,396535
6/25/2017,Sales,437380,240505,197558,289103,46413,109973,56072,307183,65965,88669,691703,49687,65719,94,50,79072,4475046,3646905,1526705,1070241,0.31,3.32,-12.3,29.21,-6.72,18.93,40.7,10.77,27.12,22704,8.51,71189,117910,831,129510,461694,170626
2/1/2015,IT,82739,458356,156771,53328,27983,156745,114927,196391,95325,-45884,926177,92474,154252,28,54,74779,1981061,599531,2970464,1385901,1.27,1.05,-8.1,47.05,17.63,2.37,20.61,40.04,15.51,144857,8.31,158644,74355,4674,69482,728802,350653
5/18/2016,Finance,300678,84345,129464,106957,23601,145458,127217,39052,151688,77405,926906,54610,82798,47,77,242907,3228662,2298757,297007,424849,1.04,3.36,23.4,4.97,4.69,3.71,46.54,49.73,17.18,399826,7.56,85259,237314,1568,149550,584747,79742
11/29/2023,Finance,197780,480658,145819,146874,30289,181082,12701,347230,86559,70580,827768,65133,132930,40,99,202763,2014706,3434961,759884,65966,2.56,0.81,6.76,-8.25,6.34,-3.86,40.74,21.22,28.35,156582,7.16,47868,130135,4851,131290,559680,462746
9/20/2023,Finance,463928,409711,170354,94573,84128,10849,103172,278185,58440,8323,107382,104822,90096,90,13,38158,1386185,3476876,2511198,342957,1.87,1.71,24.94,29.9,0.01,8.32,63.13,11.78,38.12,70408,8.71,59033,60295,817,43787,69370,86684
11/25/2022,HR,139881,153051,147567,67307,16349,193756,28747,295861,251310,96414,621016,45955,56614,53,50,-94681,882425,3391191,115992,1675709,2.04,2.36,8.6,-12.77,21.62,13.97,65.31,47.49,18.37,269950,1.71,61540,236974,977,134401,701894,222555
3/6/2018,IT,424204,129816,168491,30259,149791,62526,84891,104424,297246,42438,569401,126837,184208,110,99,139926,1244303,1475861,1849233,1929383,1.0,1.38,-11.97,31.85,15.9,9.16,46.15,26.13,37.88,267137,7.92,182731,104709,649,184032,737805,138774
12/2/2017,Sales,317715,117795,146705,203098,110525,167347,46671,192501,79653,12430,453472,144379,140057,24,57,28266,3190970,3401367,2149600,1555407,2.0,1.81,18.07,36.13,2.07,9.64,24.21,38.1,11.43,455582,1.0,10424,185247,1787,199471,591055,368173
2/4/2023,IT,464685,406995,88370,56784,141905,80281,140491,340618,241368,1721,384822,153809,59118,49,30,70160,3978008,2220043,966522,445055,0.57,2.45,-4.06,18.32,10.65,-2.96,15.63,21.1,30.08,439528,3.34,89467,290698,1938,174789,542838,173370
11/18/2021,Operations,240513,523117,95135,247516,102115,98778,93974,265718,95475,-8634,863736,122929,97153,94,114,237350,762347,2187144,2413248,461736,2.72,3.11,-9.72,42.43,0.76,15.66,59.62,31.48,7.28,307226,5.04,170395,258411,56,167425,172007,425306
7/26/2023,Finance,168688,411043,103916,118644,130792,32360,102573,121394,272479,38234,493626,90262,62546,56,22,217760,290292,3669260,2180385,850533,2.4,2.14,28.43,6.14,1.83,2.93,74.23,35.12,20.13,197104,9.58,84304,94148,3719,107522,946550,291630
10/1/2015,Operations,316321,125362,128477,77029,117180,121345,107549,206804,105438,26442,526338,125348,50155,103,36,20989,3019278,3512149,2205870,1535850,1.11,1.63,-13.1,11.2,2.67,6.85,59.3,8.64,9.29,132753,2.1,148287,123102,3207,151739,260415,407430
1/15/2018,Marketing,188236,255103,191178,124938,128187,152355,98862,103803,51438,2419,698092,126641,81890,115,62,227284,1840560,912373,2390848,567969,2.55,0.99,-20.85,30.91,19.73,13.5,21.94,31.08,38.78,342776,3.67,137247,91334,4479,135764,168821,86782
6/1/2023,Sales,282998,454466,27535,282248,76177,46348,4925,222754,76383,8329,313421,86191,145571,77,107,3884,2346599,2769183,824128,1459757,2.54,2.29,-28.06,7.77,3.03,-3.86,12.33,25.95,13.37,60504,5.21,77213,239209,2012,133637,800933,461612
10/5/2022,Sales,119390,177424,58955,168676,60166,102280,46852,238406,138802,89555,308424,57221,151480,99,38,267979,1887741,1178520,2781684,1899105,2.38,3.38,21.11,17.89,6.91,15.64,16.13,19.01,13.16,296401,7.29,182689,75515,3628,62980,580288,411754
5/19/2023,IT,162120,119950,180241,51545,89047,188684,-4174,88465,29206,86028,940748,23715,117891,27,52,173335,796080,1062067,603297,668146,1.84,1.87,17.52,27.04,16.53,-0.98,63.74,31.3,26.48,353463,2.32,71007,7934,1431,118689,141609,396529
5/12/2024,Marketing,465953,138921,118168,187672,69892,73086,17413,291855,295554,14678,999402,145921,35836,14,18,-68457,800142,2889641,2206268,1740066,1.5,0.77,-0.49,-13.73,24.27,1.48,41.88,49.28,36.23,250493,7.07,65582,191175,579,23593,288698,169664
10/29/2017,HR,343623,148940,197877,205601,58229,166262,111253,77664,164500,51542,126557,69026,165978,83,86,200086,3923240,3284033,1546657,245350,1.13,0.96,-14.09,43.9,8.1,1.03,27.06,17.14,9.29,430285,3.66,184682,45534,891,169966,892964,49282
1/18/2018,Operations,264458,389525,43765,43310,135070,14627,129692,266056,173476,-5307,422613,146904,66574,57,94,15523,2149513,1979683,172000,1255558,1.28,3.03,7.29,8.37,19.83,2.66,39.09,14.01,8.4,369763,9.0,169291,179975,4152,130449,213229,289250
1/11/2016,HR,396197,433457,60454,129971,70152,198046,134329,371159,136223,48002,626487,73624,183508,105,10,26026,2425927,175397,1542566,378453,1.73,1.32,1.25,-4.68,19.35,-2.38,16.67,43.54,18.16,293869,4.64,159711,53141,855,33201,12714,497839
8/30/2024,Finance,267603,201897,35424,257832,137071,109990,78070,282593,56787,78162,867117,7570,24380,16,86,47643,3750214,2417293,2431090,417758,1.35,3.19,-15.56,32.02,18.62,12.86,68.67,37.43,27.75,273424,2.72,60775,68828,1493,20325,677820,204249
11/22/2017,Finance,339148,377695,80285,178281,25592,128842,4355,170665,56499,45650,504024,57694,39103,29,40,285187,3851602,3800515,139538,599652,2.3,3.15,26.95,-9.03,24.24,1.37,43.54,16.28,6.32,158768,9.51,166353,292445,1072,110358,81464,59285
5/26/2020,Sales,154810,105217,57115,216459,11668,183744,143708,377299,99924,46444,966537,134534,7558,100,21,244907,3762484,3316259,1669057,363778,1.35,1.13,-15.28,-13.26,-8.27,-1.06,42.79,36.44,30.85,102273,7.06,28059,47448,2536,179300,532210,44558
5/20/2022,Sales,255170,208974,142714,70051,20106,196610,88484,73775,186821,87018,269834,132672,152824,59,57,284289,789936,1027693,1033168,1175030,1.13,0.6,-29.68,42.39,8.38,16.8,32.09,22.12,20.42,267045,9.17,14924,183904,536,108921,797096,83380
1/17/2020,Marketing,109810,120414,35222,86546,94809,153040,103989,40571,272317,-11514,976824,120833,29738,35,57,181544,4712770,3029245,1029074,1269670,2.58,3.18,7.81,49.26,18.55,13.92,58.11,18.63,37.47,418152,1.71,115677,70281,388,175831,537654,358102
4/27/2022,Operations,237702,391421,67733,100461,30208,122455,48492,261628,201107,12003,423204,66930,190308,116,89,55810,3542876,2782812,1645648,1950827,1.33,3.35,-27.65,9.15,-9.57,1.83,12.48,23.28,33.41,81441,1.62,24814,98424,892,74623,657985,131048
7/21/2020,IT,170004,424588,144382,232409,35537,60319,90538,280679,251525,45094,128008,145355,135389,76,29,263055,3482737,320587,2705239,1540109,1.99,3.13,23.83,5.57,-9.16,17.03,18.39,28.18,18.18,421612,1.2,128181,108743,2308,81688,211289,475057
12/3/2020,Operations,106372,170411,138290,85392,21920,138451,47036,142327,270506,54326,674542,168579,43096,97,111,-59713,4768935,2962385,1827396,624977,1.91,2.75,26.89,45.99,22.35,8.35,65.32,48.19,9.35,352902,1.43,110872,138878,4475,126590,321631,446736
2/11/2016,Sales,263198,383717,32448,286972,44257,194998,93656,55645,251445,34602,605345,33923,130417,64,53,192214,3438241,1406683,1278106,1612083,2.31,1.17,-24.79,14.15,17.61,-0.86,74.71,24.71,6.78,232170,6.19,114939,38700,2100,66859,543208,184449
7/26/2024,Sales,350105,328293,67895,286458,117371,161013,28843,391984,58770,77336,219016,30196,55105,108,114,238833,3247980,1914986,285222,26800,0.16,0.94,-16.96,-14.42,-8.81,-4.62,56.02,21.45,17.74,475943,3.36,142991,39957,3284,67473,305459,349929
12/8/2017,Sales,216671,394002,36004,295115,7652,93573,91894,138959,36713,62475,522143,194846,158069,38,92,-49972,262565,1971833,1442163,456276,2.67,2.35,11.85,47.52,21.73,7.57,52.8,38.39,22.45,442898,9.15,121556,235310,2847,147676,783744,334510
10/4/2024,IT,56336,347187,20662,151170,104251,107222,38365,50261,261102,47888,77276,89466,189451,13,97,59751,710757,234904,655194,1052965,2.08,2.8,18.69,-12.4,4.43,12.58,64.19,41.42,18.72,397566,9.76,66330,172591,2683,152041,791533,464382
12/22/2015,IT,199953,210027,84801,87674,43842,74049,114421,278414,203456,-28367,591887,186633,62050,78,27,-58914,147456,3646503,1312807,736741,2.72,1.02,-5.63,-2.15,8.5,10.99,40.11,45.76,15.82,438832,9.88,18611,172691,907,43520,475151,88400
9/22/2016,IT,298961,279855,177298,169620,96312,14006,23662,329839,92833,5254,432200,167631,185410,19,59,63198,878287,2925658,1488018,1821716,2.32,0.98,-3.11,8.63,12.0,-2.1,65.3,19.26,26.02,146483,1.82,32318,153746,562,163172,274136,68580
2/13/2023,Operations,136103,361672,157293,296310,46537,116967,-7455,206920,187982,3517,371969,176949,71146,76,39,65288,2404455,2645183,644148,1349162,0.52,1.08,-23.4,31.58,3.1,1.88,19.79,8.28,35.18,307021,9.45,80558,293816,1432,110219,127940,405958
4/28/2016,IT,443001,505783,184483,220889,15925,61435,124123,232732,159157,-11326,362572,158059,148728,11,107,238565,1923878,2387486,1096695,54057,0.86,2.8,-12.62,-19.64,22.26,1.19,25.98,25.95,5.08,191976,7.61,190095,246408,4609,74078,333324,107410
9/2/2020,Sales,213501,273092,165946,40377,88205,36703,134804,169506,191761,48209,908108,22660,16215,35,117,284523,1244561,3161274,638447,1332817,0.78,3.45,-6.14,10.7,18.96,14.35,77.82,49.21,33.38,51672,9.17,56863,85782,405,71427,960718,274295
9/28/2023,IT,161941,377702,72627,221522,121742,162139,55592,90891,207339,-29197,544999,69211,55774,73,107,226197,3495730,1099850,53877,529021,1.67,1.71,-27.29,-5.97,7.87,15.82,19.37,41.24,29.85,406431,5.65,55227,100131,4269,180557,799683,94757
3/17/2018,IT,96928,295755,146975,193368,52784,195969,68222,244460,292611,8122,630647,124317,189843,103,90,98172,624926,2837702,77005,781434,1.02,2.29,-2.57,47.88,7.68,18.5,41.39,41.89,19.68,167484,9.21,88692,157494,343,66781,918015,96924
1/21/2022,Marketing,81182,148566,40581,124978,99527,148011,6471,214921,176714,12969,728378,191089,6683,77,29,24766,2179919,2413722,2784324,445854,0.2,2.04,-20.23,10.54,-0.66,5.84,66.51,23.63,12.07,346355,9.09,60675,210283,350,185097,840478,221138
8/27/2022,HR,202786,506534,22626,268180,67358,139480,99947,87229,182523,80332,324245,189669,168384,85,38,-2447,3458038,3859484,603561,1177172,2.59,2.76,-4.24,35.52,1.55,4.75,77.87,18.27,34.18,400112,6.13,95446,34310,4238,97712,678258,37522
3/5/2020,Operations,87056,302457,141735,66702,131121,143315,31192,175144,65241,-9092,644468,43091,192698,31,27,262200,949347,965213,50462,438653,0.28,3.26,27.89,12.62,23.39,-4.49,34.33,34.64,15.6,34781,3.39,137253,162926,4200,71151,32491,371837
6/17/2021,IT,461035,467838,31832,201250,100894,39135,22589,287212,189279,-6938,311868,192464,173840,16,19,158652,526541,3086766,2991537,1187155,1.1,3.33,17.05,48.16,10.36,9.11,70.77,13.6,18.51,167031,6.56,144796,92875,2931,81611,717098,307385
7/28/2022,HR,150639,384866,88306,32810,27306,63624,116248,311824,28992,68920,861968,163897,99794,27,44,60119,249540,1979819,2641831,1060845,2.03,1.21,0.23,-1.09,-3.25,9.09,52.77,27.08,9.56,482648,5.35,77371,58424,2798,154729,134970,389513
12/28/2021,IT,299991,348735,29888,181926,128477,182924,-3899,134769,244512,91819,424905,57462,81844,62,39,50038,643401,985860,634910,1957524,1.67,3.13,20.61,-15.21,-6.84,14.52,71.69,5.96,5.89,258074,7.97,83116,276475,449,40192,110526,191078
5/8/2020,Sales,288431,60491,58087,73625,86863,161140,103636,266809,101782,-2053,172892,67461,65030,86,18,17897,1578144,3669453,266476,1185969,1.0,2.64,7.92,37.01,-7.35,18.45,47.26,22.48,24.16,89776,9.25,93757,36306,3467,43453,165584,90984
8/1/2023,Marketing,391698,330150,157838,271663,24757,120449,-8053,243008,233676,24533,548100,43390,52909,82,66,13575,4398413,2433125,1457497,1990699,2.51,2.04,21.43,25.42,16.23,18.92,55.41,33.24,32.24,256624,6.98,181021,251734,3146,29230,105667,259995
12/10/2019,Sales,137492,218973,173929,151106,116862,124076,149941,266007,150456,-48105,138718,88289,172347,92,107,276781,2442779,897787,218639,75840,0.49,2.59,7.18,-7.36,24.64,16.4,17.18,35.37,28.64,10597,6.07,125402,272691,1697,148111,287125,389728
12/10/2015,IT,122731,312925,84284,294765,43918,14872,20927,144483,218634,83218,998096,21942,189049,99,14,5319,2269194,3497157,232086,741263,0.9,3.24,9.89,46.11,22.86,-1.31,15.97,38.33,34.27,14891,1.6,186855,296824,3744,179836,410772,190307
7/2/2015,IT,203880,264492,35261,204329,5969,123506,76608,166064,108086,20472,32024,141572,120504,92,61,-23250,3587540,417600,2000242,634122,1.79,2.47,25.79,23.03,-8.09,7.84,79.26,16.99,17.01,493728,6.05,70813,54980,2275,168041,349116,298405
5/26/2021,HR,423718,423320,190095,199511,23504,54349,106889,131153,71348,34693,358285,167235,135375,13,114,-45044,494576,1451018,603290,1493039,2.49,2.8,-17.55,43.04,-9.01,-1.4,29.6,25.99,38.85,292648,1.29,142659,69151,2932,171189,903074,137276
4/19/2016,Finance,498531,122831,108977,94067,95582,132879,67570,210840,129593,45069,313361,108575,120428,49,71,-98535,3730047,3402140,75664,1918745,1.02,2.67,-1.0,-4.67,22.58,17.94,31.74,26.05,8.67,61158,3.45,151432,219213,4681,186056,26252,453743
7/29/2022,IT,202539,352995,193364,31943,133342,24820,38047,270898,78394,-22547,771916,150954,117024,29,107,15049,2285379,2382057,943240,767308,1.85,3.09,-14.94,11.96,1.37,7.88,78.13,37.53,32.25,196082,9.52,56366,232610,4332,151199,131428,329469
4/17/2018,Sales,374466,492187,184466,113415,121126,129612,-9766,165815,135742,34169,827630,155784,172724,45,53,82922,401804,3841882,2060791,1197008,1.41,0.86,13.13,-12.19,20.62,19.7,54.31,20.21,24.39,57482,1.63,117224,84954,2221,185698,11081,226521
12/8/2022,HR,65314,245301,190087,152753,107623,88612,104577,145028,121414,68490,285901,20132,184725,84,93,117991,1165687,2582500,1392854,771526,1.26,0.88,21.22,-9.4,7.97,-1.65,17.01,15.86,31.61,313338,7.37,185236,120810,776,24312,117329,427293
3/17/2024,Operations,98781,526855,118679,106080,17858,162493,149033,265406,119490,17152,697760,82128,91455,10,76,197838,4369689,1783633,224395,128482,0.17,1.37,24.51,-10.01,12.83,-2.84,17.12,7.36,20.65,368873,4.98,118878,97246,969,168846,658264,178492
6/1/2024,Operations,184089,488407,153772,114914,76557,180206,136229,192084,235401,10962,728196,155165,169459,24,90,124075,1431157,146828,216793,311222,2.93,2.93,4.23,40.28,-0.77,-1.33,75.06,48.34,6.17,39269,2.87,76018,213906,439,110317,48409,210277
6/25/2024,Finance,221325,317886,157051,232512,99142,111326,43466,59778,62375,96751,666987,108296,128080,27,26,15132,3986781,3346059,802676,983060,2.56,3.04,25.71,6.68,7.52,5.77,13.22,9.47,26.74,42721,8.2,45583,235156,2756,135295,269391,90687
4/4/2021,Sales,291183,362722,112192,267176,117046,64222,33904,352629,206632,-39530,786268,87057,145684,67,96,83057,3064996,248794,2389380,473989,0.71,2.77,-23.72,47.71,19.32,4.93,76.46,26.3,12.44,469247,4.19,185110,219507,1223,160859,837583,298349
8/23/2020,IT,331267,123625,190966,261127,88019,125239,105877,130303,296709,80329,660529,6562,46897,119,97,-55585,394606,412716,245715,1917684,2.92,0.74,24.32,-14.28,-2.24,-1.85,19.43,18.3,12.87,207950,3.83,98625,226167,4078,148979,960020,84920
7/18/2021,Operations,115728,88044,105118,107308,146875,173486,133753,173127,50941,42307,301175,170899,183686,75,118,8869,254973,2035865,2110322,1515560,2.35,3.14,0.76,49.51,18.52,9.46,31.6,39.53,9.05,350621,1.81,6943,94323,2143,22694,933816,152190
2/16/2015,HR,296317,445176,142770,209028,19705,104409,19224,67976,168867,-16608,250052,138405,74496,20,89,19599,3616600,3786179,2094580,1090101,0.78,3.13,4.58,-7.55,5.32,13.2,16.68,32.24,11.49,292387,4.07,49090,47078,736,97473,86725,254470
3/23/2020,HR,342915,238752,151677,88411,20149,171605,-3488,47209,160432,-16211,929694,53148,57459,13,77,-34001,172470,554208,1653987,713630,1.05,2.44,12.37,-6.21,-9.56,18.86,75.54,30.94,23.63,450900,4.58,122225,160090,723,62441,273573,451577
