Date / Period,Business Unit / Department,Revenue (Actual),Revenue (Budget / Forecast),Cost of Goods Sold (COGS),Gross Profit,Operating Expenses (OPEX),EBITDA,Net Income,Cash Inflows,Cash Outflows,Net Cash Flow,Cash Balance,Accounts Receivable (AR),Accounts Payable (AP),Days Sales Outstanding (DSO),Days Payable Outstanding (DPO),Working Capital,Total Assets,Total Liabilities,Equity,Debt Outstanding,Debt-to-Equity Ratio,Current Ratio,Budget Variance (%),Year-over-Year Growth (%),Return on Equity (ROE),Return on Assets (ROA),Gross Margin %,Operating Margin %,EBITDA Margin %,Inventory Value,Inventory Turnover,Capital Expenditure (CapEx),Operational Expenditure (OpEx),Headcount,Cost per Employee,Sales Pipeline Value,Order Backlog
2023-04-08,HR,131909,428970,91905,216375,98692,54940,123491,128106,29737,99610,496491,38087,157549,38,116,212891,2729043,1215974,450146,1799696,2.33,1.89,4.45,-1.12,5.11,15.02,17.32,34.16,34.24,279020,1.84,22387,218157,2554,154916,79094,456787
2023-04-09,HR,385742,218956,53844,246046,130948,29909,51945,374838,226961,90360,427400,149736,135458,11,107,176125,681902,1821647,2413447,1760863,0.97,2.36,-7.6,-18.87,21.53,19.43,71.51,36.41,33.86,406328,2.77,37042,94462,4719,185061,207770,301655
2023-04-10,HR,255209,461621,56373,42453,110165,177189,70274,195945,228187,7005,325417,190857,79625,53,60,132945,243938,674487,2746009,1287260,2.87,2.21,-13.55,4.6,-4.58,5.43,61.23,49.04,25.33,168227,4.3,187748,134554,1791,85626,576637,360604
2023-04-11,HR,326387,323379,32013,45647,116008,25738,-900,295278,215622,16403,354410,171040,47513,52,44,82451,1563383,569308,486715,377395,2.93,1.84,8.79,-0.69,24.13,4.87,41.04,47.19,6.62,377825,8.31,164901,298046,1491,185379,313719,413184
2023-04-12,HR,343228,338030,197771,202235,118123,150100,124667,134022,272316,12400,99492,73850,141013,40,59,130249,2408313,908033,1372689,585182,2.35,1.6,-6.83,37.06,23.68,4.14,28.34,8.66,31.58,214060,1.51,26120,67033,591,186799,870837,397321
2023-04-13,HR,476870,270477,37268,268014,78436,70092,121389,238998,269755,61735,321219,65309,130025,105,44,177638,156869,2850944,1894782,287574,1.48,3.1,8.28,40.87,12.8,9.79,63.31,20.14,33.01,120623,3.99,186428,60308,2320,45502,606706,96258
2023-04-14,HR,50165,319203,185229,20455,74453,159101,71943,56100,20415,74785,688457,36665,133495,66,119,107092,1391481,1762557,2059873,284787,2.26,2.6,10.69,-10.65,2.48,2.1,29.83,32.68,29.22,177985,3.74,65616,225273,2008,44935,308346,247785
2023-04-15,HR,251613,153475,168154,168850,114240,179060,45004,233420,257195,48392,384361,160489,191977,86,76,187935,2706864,2688123,2319955,1426045,0.48,2.81,12.17,26.98,13.35,5.71,48.19,37.91,32.92,351508,6.62,55123,196385,919,175552,704063,198911
2023-04-16,HR,467177,536510,73527,286890,96683,100073,-1645,217733,258081,48252,111271,34853,57851,64,118,213598,4188383,715251,175994,1769053,1.89,3.22,-16.95,-10.0,-7.63,-0.13,78.63,33.52,8.0,64169,2.39,21004,164223,4982,90169,822982,474199
2023-04-17,HR,297943,231728,48158,205966,27744,63569,67256,273748,215049,-31444,770378,129107,153973,76,78,150489,1440754,3678440,998199,1714884,1.0,3.5,14.45,9.88,18.93,-1.22,52.99,25.2,24.26,385615,5.94,115228,223812,2012,97848,981650,145211
2023-04-18,HR,146718,411228,107540,144336,23354,41736,76388,272501,248818,-48709,545941,44352,81946,28,20,2338,117666,679347,2803572,15699,0.95,2.09,-16.83,44.32,6.38,19.04,72.13,32.67,34.62,183730,3.12,33326,150290,4914,160019,501719,239147
2023-04-19,HR,245347,316874,47974,287238,86259,123795,-9395,288618,154966,15880,746670,95993,162834,23,69,-36677,1016304,2328482,1700178,922941,1.6,1.22,-19.57,-2.91,11.04,14.87,15.5,31.29,25.09,362914,6.65,16979,37341,488,108118,95762,296992
2023-04-20,HR,99819,368849,138710,161772,144998,94497,66609,391916,34922,16955,362350,139267,177764,56,98,109183,2570731,1672572,1093802,1060656,1.73,0.54,-19.87,-15.81,-2.11,9.05,61.31,48.27,33.82,303972,2.25,182410,210978,788,41167,725977,288601
2023-04-21,HR,197921,249088,147271,196231,26834,113339,-10478,259794,73003,19919,81518,191084,128832,17,76,45783,3538384,2811624,2326004,786693,2.14,2.84,-25.62,11.92,-5.79,15.1,33.22,35.89,26.77,268867,6.55,72028,222103,2823,27117,567425,59287
2023-04-22,HR,426405,393858,172194,154433,76301,166486,22542,167456,187508,34806,229895,85317,25040,71,80,-52680,1439199,614163,941683,1145804,2.11,2.01,-8.95,19.85,7.64,16.87,68.54,12.57,39.16,218259,6.08,188510,11087,2788,76905,262158,169461
2023-04-23,HR,231786,105185,126255,72100,114351,60449,42883,193753,164218,80307,834746,149587,12447,97,11,123789,4117745,704563,2958716,1111757,0.28,0.85,-26.3,27.18,15.21,-2.05,10.53,8.45,20.51,281593,7.29,17116,166323,3552,116278,568222,471089
2023-04-24,HR,402417,67300,80141,27019,70101,119225,123595,153630,50530,11329,179597,171684,72146,45,66,-9486,856980,3797937,1792796,1207577,2.44,1.42,-0.09,49.19,18.75,7.4,55.04,15.53,22.23,339300,3.31,80670,77135,3070,20979,465604,277688
2023-04-25,HR,357723,410113,152283,47188,69111,119083,11767,310701,137569,28519,601031,137863,56579,115,66,-58763,2985428,935911,1719533,564355,2.15,2.08,-8.79,-6.26,7.08,18.5,10.47,14.08,28.2,152121,4.77,130745,75228,342,156552,891886,206563
2023-04-26,HR,55576,341277,53479,263986,112593,148891,67937,80525,99143,-38042,129653,22647,65118,41,103,111638,2878838,2456473,2842455,1013607,0.28,2.0,9.03,-7.88,23.6,18.43,67.04,48.8,23.42,288852,3.48,118195,7274,3269,49528,197705,244722
2023-04-27,HR,294472,385555,191438,144313,110812,11657,99467,323898,128799,91588,194956,46447,41865,36,81,-62441,2649996,3946268,144412,1830799,2.96,0.77,13.51,-9.79,10.53,4.18,54.11,12.54,21.37,261421,3.22,96396,34831,2328,171710,248599,127362
2023-04-28,HR,498225,538737,179408,135361,111822,185870,72007,185668,94957,71051,182031,152643,165645,41,44,29836,1558387,1732717,563861,1762713,2.77,0.89,25.2,5.69,1.19,-3.69,61.41,14.74,27.76,394074,1.86,36991,41208,304,124368,949326,349268
2023-04-29,HR,145200,335821,157767,164053,77427,47955,149281,197946,105683,84675,879132,64016,79345,82,50,44931,2305250,602654,2630305,1880113,2.05,0.92,13.77,19.14,-3.21,7.33,59.73,19.75,5.25,414433,8.17,167520,260966,788,48803,351569,200454
2023-04-30,HR,203829,472308,159487,85919,50360,61778,59516,203973,235761,-4583,472888,129214,93945,51,13,22476,3660665,2301754,2561042,1639939,2.37,0.71,-24.92,12.67,-6.57,3.0,26.21,6.67,6.14,386191,7.65,187762,291603,1772,71928,697231,423811
2023-05-01,HR,236647,69872,143961,288912,148700,189192,123483,231473,217740,6671,842081,140191,25225,28,62,-20704,1155950,2639273,605291,1989665,0.76,3.21,10.22,24.21,10.66,8.25,12.41,44.43,18.14,142386,7.43,194041,219971,3358,76817,950856,316178
2023-05-02,HR,276150,505436,111420,282796,108517,170809,90079,30698,125422,-1195,77964,6041,75769,119,18,73644,4747728,3724272,564475,1697322,2.29,2.87,2.81,45.09,11.56,-2.05,46.56,20.76,7.82,323907,8.33,83767,252046,4284,167736,252302,448104
2023-05-03,HR,266788,324633,36213,62732,24735,114971,-1479,84062,190691,28739,498057,184920,26690,41,16,202775,3757001,1451580,658465,1446277,2.88,2.03,-23.22,-7.86,20.23,4.27,39.77,36.94,22.1,262860,1.65,57624,282601,1698,74326,425720,478955
2023-05-04,HR,470071,519889,122422,36266,12352,180027,19316,219594,52623,56738,915039,98968,196847,28,67,-63462,3159670,3721555,902010,258363,1.43,1.21,-20.4,31.9,16.65,6.77,71.26,32.24,34.78,348292,2.91,27374,223323,1492,87123,678508,179072
2023-05-05,HR,87757,239815,176444,80562,12386,26817,45790,41748,220038,-47752,446033,7456,71640,71,110,-75927,2073278,2842845,2157448,1355181,0.48,2.92,-26.16,-16.73,13.66,0.21,26.85,21.58,29.36,268982,2.62,92263,65884,1948,124401,867736,325667
2023-05-06,HR,274239,91029,183751,59328,136172,52862,-3047,176644,257328,28702,348520,42507,55103,43,103,131363,2154747,2662191,1465347,901947,0.63,2.05,19.3,-11.75,1.03,1.18,23.43,31.81,35.65,406914,8.56,130316,215395,1919,39010,467119,477961
2023-05-07,HR,465057,511601,113511,22300,70615,33934,28791,164007,144503,77549,208401,91125,178838,78,48,-4080,973788,900550,1644412,516069,2.69,1.59,8.58,29.65,5.65,12.99,34.21,41.76,24.5,154296,2.23,137248,71560,1687,87528,978931,97270
2023-05-08,HR,244900,234217,88292,191321,66749,178416,135481,276242,155963,-36535,858524,45536,113741,22,104,236142,1654423,3287436,1171664,1903171,1.86,1.88,5.58,44.33,18.87,8.85,27.71,30.79,14.22,283465,3.91,32606,133777,4994,90061,890122,248682
2023-05-09,HR,276631,400630,37938,226147,138588,169193,99035,167706,32335,65657,668187,32322,190719,28,82,64439,3329138,1742171,1549610,1853954,1.5,1.52,4.41,42.31,9.81,9.15,14.39,6.33,7.92,261154,9.94,43175,9427,491,24247,650516,384449
2023-05-10,HR,208691,275635,20670,191402,144536,27394,8463,302821,98140,68126,331050,113753,24670,61,100,-64881,1945238,3560589,2463891,942772,2.3,1.87,-11.65,19.76,19.38,5.79,58.11,8.37,10.0,135522,4.19,91374,160999,4640,187229,725037,267402
2023-05-11,HR,102084,254612,106876,176509,110437,99237,92687,265567,28761,55191,287001,116019,29204,16,66,289948,1976122,656295,627263,328153,2.56,1.71,-17.6,3.34,16.91,17.57,21.35,23.18,26.21,146657,5.89,65052,139560,1816,82233,451934,481955
2023-05-12,HR,390829,358342,193959,105940,115880,66701,99966,252631,255275,82811,824686,133579,181788,51,89,-39957,4950980,2128543,2443298,1062299,0.4,2.66,-11.33,25.92,-6.02,11.56,61.88,33.33,11.36,327742,4.84,51424,9482,454,178390,10109,267783
2023-05-13,HR,327982,466873,104780,168950,40200,73949,37089,280047,45975,81521,571761,50069,150409,113,55,162936,3673007,1579739,748573,1320374,2.91,1.89,23.68,22.2,7.43,4.28,60.92,32.5,9.01,11107,7.16,9239,225737,2256,120246,74584,173087
2023-05-14,HR,92980,259863,30921,195407,77906,130091,128747,178569,71302,-39781,892641,83568,191478,105,19,160663,3202090,856937,1866579,1493896,2.16,2.09,21.79,24.2,16.89,6.84,29.83,48.06,37.81,474428,1.54,93167,124443,3242,62423,155906,110225
2023-05-15,HR,315052,347966,82761,226428,133929,28175,72568,373576,231334,-24544,645791,128194,106812,104,113,2644,3554324,2284998,878751,1706771,2.31,1.35,27.95,16.13,18.27,13.66,27.97,41.95,30.99,234773,9.74,165956,265784,2222,72154,635693,36807
2023-05-16,HR,336499,265900,47607,68243,73375,197030,13786,39659,125546,4017,719333,12007,56276,16,85,193279,1853246,1422431,2027007,202385,2.42,2.86,29.72,30.55,13.81,6.0,73.75,14.25,13.25,144256,6.34,29832,154005,4608,148500,933681,32261
2023-05-17,HR,276772,461687,178929,118699,19159,82203,57127,336048,259863,27054,609364,177804,164802,102,44,-84316,4850583,3013927,2756923,1988703,1.26,1.64,-16.38,-3.98,6.87,12.92,32.41,10.48,17.47,68644,2.02,147856,174487,2245,144734,420070,104885
2023-05-18,HR,143633,83741,88835,210134,138365,168869,143357,96455,241127,-45614,838781,7366,187123,68,100,278217,1173506,1611154,2415687,1456336,0.9,1.53,14.82,28.81,6.79,4.26,25.8,26.29,12.13,191309,8.42,133760,298421,3339,114544,981614,441938
2023-05-19,HR,181846,477172,20142,48483,41139,168573,140249,117028,225329,77039,749136,166737,46598,51,57,182614,1109505,2142773,255606,1433153,1.81,2.43,29.73,-3.7,11.57,6.48,22.75,38.81,15.21,211017,4.7,28483,248298,4519,96291,850152,241185
2023-05-20,HR,340738,233968,71050,161411,81587,91542,-9280,329202,84680,-39428,581010,55002,5340,88,64,150890,352749,1734556,2270914,1843324,1.04,2.04,8.5,-4.13,3.75,7.79,67.99,6.58,18.56,373986,3.48,12490,63330,4204,29716,567987,280877
2023-05-21,HR,425323,285456,138006,210157,102882,194546,-11345,373328,32743,46002,310274,83912,67190,25,80,-9388,2186563,2925391,816936,32807,2.95,2.77,-18.93,-8.08,22.6,19.63,69.66,10.91,24.61,299641,7.05,156000,51902,127,34988,444568,268446
2023-05-22,HR,158897,227939,91351,253372,129202,138935,138218,106318,247839,53504,710140,58002,12232,35,97,-64007,1761358,528485,59087,325487,1.61,3.15,7.36,-4.33,1.37,10.22,53.34,12.94,27.99,337723,4.75,67857,231301,4164,55235,182356,201259
2023-05-23,HR,259905,236387,181780,169317,97086,128616,147909,349901,32002,68945,201983,173162,115221,15,97,97713,1100114,2712148,1988009,1657436,1.44,0.9,28.05,16.26,1.43,-0.48,75.88,45.81,12.15,337839,5.74,114422,12135,3751,151816,241614,127298
2023-05-24,HR,183088,427589,50741,94671,115390,161733,97566,227741,83622,99565,545168,197709,176528,16,92,-32753,3127160,1250251,1527558,1146207,0.96,1.55,-24.09,38.83,-4.02,5.25,32.16,39.02,38.26,162029,1.36,120661,299425,1843,56869,260532,479088
2023-05-25,HR,97066,316696,182563,200074,38206,112180,76409,126947,95746,-14147,134040,133152,194828,100,83,283879,2047103,1639828,633867,553501,1.13,3.37,16.63,15.64,9.96,16.33,21.28,10.08,33.43,347668,9.46,149766,199258,4433,99400,269423,447338
2023-05-26,HR,122712,380499,112153,210622,22844,90866,-15692,224732,257790,62257,179031,131053,21312,75,49,153762,595040,2441853,1655893,1134024,2.79,1.33,-28.46,6.2,-4.94,-0.76,59.53,26.79,34.31,361975,4.35,185558,8186,692,127260,201891,267146
2023-05-27,HR,85225,180638,133267,139054,133583,183316,128425,160229,161072,-22170,616553,144494,188370,40,25,82732,813413,1697398,1215094,1323349,0.86,2.66,22.16,21.21,-8.02,2.13,48.65,18.96,37.52,276304,2.83,178333,284062,2174,96262,526867,345152
2023-05-28,HR,281381,211615,38155,240002,81358,91830,54648,239444,142394,-43492,853337,142371,78834,74,39,144707,4350421,338335,555807,675195,2.7,0.79,-13.23,23.43,-1.03,17.07,40.21,12.81,31.73,197226,7.5,33428,246812,454,50343,337589,61685
2023-05-29,HR,248337,320135,44687,111433,10787,86541,137060,362595,247875,31781,114077,101453,84748,54,79,-88556,3422238,3794859,2191972,987859,1.28,2.32,-26.0,0.99,22.55,1.35,22.53,31.57,13.6,353404,6.76,179199,138469,1249,102232,139057,331873
2023-05-30,HR,55170,328098,103122,192515,77847,160368,139075,39300,121332,33643,32206,40074,22057,25,96,76673,970552,160244,2196893,1849601,0.1,1.75,-7.92,-15.1,24.06,9.42,53.37,48.88,20.61,454920,5.44,126566,134000,621,72611,638420,266643
2023-05-31,HR,60835,379257,71602,266062,71121,166811,31562,231697,154902,-31248,833935,166431,29399,74,85,163863,3749296,1874310,1281175,95374,1.46,1.85,-23.78,5.61,3.26,-2.11,39.5,38.11,25.48,261863,5.05,64985,26947,1521,192148,990710,55440
2023-06-01,HR,148940,469496,118555,125749,136883,21887,62982,395647,131675,98641,838190,151288,65777,41,15,178991,448104,1412226,2638048,1877341,2.39,3.25,11.55,-19.36,1.26,6.4,28.33,41.66,28.66,488213,5.43,66997,193052,2985,142082,595894,363769
2023-06-02,HR,65130,482590,42373,255860,24347,6792,55153,280051,237520,-19510,271102,22749,150600,60,117,60163,1181533,753319,1608276,90220,2.63,2.78,-29.18,24.39,-9.13,19.0,37.18,47.32,17.75,322420,7.97,151773,194481,4688,113688,32297,202031
2023-06-03,HR,272463,431771,128471,94938,50196,58243,106598,183297,132115,92927,263240,23124,14787,55,15,184926,3693681,1809712,143604,1479786,1.4,2.23,26.69,14.75,10.66,10.11,40.93,18.7,15.26,180405,2.05,183700,230696,1128,97094,682660,211388
2023-06-04,HR,305315,322055,56334,207254,39287,124154,39565,70595,276008,13446,732799,56306,162556,33,31,253149,4030382,1328083,2266012,1142251,1.9,1.76,20.83,-17.53,-5.51,19.17,12.28,12.71,25.89,134206,9.79,31640,76480,501,47996,672822,13914
2023-06-05,HR,380904,221577,81252,221932,24705,186639,3113,238998,233233,-26836,918225,140815,161391,33,46,104846,2172002,2166959,2806399,1043845,0.71,0.56,10.47,44.27,-5.88,1.0,15.58,14.18,16.66,496009,6.06,70915,214097,2264,110334,16890,211299
2023-06-06,HR,395934,509756,120742,222298,70261,29782,6755,101741,253821,-27166,602753,182791,56418,79,21,191068,2120567,2221655,2106555,1161277,0.53,3.32,-0.27,6.07,0.88,0.89,77.01,28.29,39.22,178959,6.46,172069,183044,774,89860,264537,247978
2023-06-07,HR,116925,480148,182084,11270,47610,80361,40660,285757,220269,83927,198298,92907,30246,28,78,230182,4326502,1968308,1429496,1191871,1.45,2.03,10.78,-2.53,-7.25,5.31,76.79,27.44,12.4,386704,1.98,189728,208400,2434,101603,545465,80506
2023-06-08,HR,334501,515651,63686,163814,89157,46384,57684,383094,129320,48988,22705,115902,23380,36,27,197911,4344240,2341347,553233,276656,2.87,2.94,19.49,-6.01,22.31,8.72,40.65,17.83,33.98,159161,1.47,49892,80298,3075,81406,57057,169544
2023-06-09,HR,416377,68734,177849,125496,145393,101817,140354,294585,143740,32046,73315,143126,150923,11,29,141958,235191,2569371,2348624,541077,2.74,3.47,0.6,35.37,22.14,5.05,59.91,13.25,29.12,50554,5.44,15853,18500,1271,162202,840453,396095
2023-06-10,HR,118883,410264,34510,35273,16317,33335,108671,361742,165020,46182,670511,17018,20958,72,68,97136,973365,1083904,2204484,1528784,0.38,2.7,-21.02,1.61,2.34,5.16,45.97,24.66,17.55,129110,4.73,160108,168035,2736,70734,870561,448449
2023-06-11,HR,445326,525010,140840,71160,38455,103008,127004,314991,277653,96343,652071,104259,150531,10,38,206202,342494,1754649,2198279,1909665,0.81,2.74,-16.96,49.09,17.95,17.22,29.02,10.44,10.37,484052,4.68,71303,221525,3210,120660,186072,424590
2023-06-12,HR,423370,342567,77702,125820,104077,105783,121986,300708,271166,-1590,965619,124701,29316,98,93,124242,448828,2178798,439758,862354,2.71,2.85,1.87,33.45,-7.99,13.89,50.91,37.1,28.47,159894,5.51,17513,211728,1886,148834,345241,442623
2023-06-13,HR,422141,185270,130920,258650,132711,26993,104227,331658,223754,6016,862085,123822,11709,43,37,-20113,1791566,1585735,2786737,1351407,1.43,2.52,-7.3,28.71,-3.27,10.87,73.4,37.13,36.44,315454,7.63,21752,187407,2347,45389,654318,486972
2023-06-14,HR,251291,139050,75581,285899,89239,127567,-15280,309412,75227,51643,954289,28234,135393,104,81,138812,182639,2889740,1040845,237603,2.78,0.75,27.81,7.76,8.39,-1.57,73.92,19.13,18.99,359401,4.82,125553,295546,906,71891,615328,324812
2023-06-15,HR,156476,356252,181279,249329,58775,43599,95039,32245,153009,-7392,369982,134122,50336,67,19,60228,1948137,2840778,668313,926054,1.44,2.97,28.06,24.78,18.93,-3.54,59.86,32.05,25.32,28844,1.71,121762,199977,1640,59202,473173,110549
2023-06-16,HR,342228,106725,160915,91900,113596,12793,45978,34053,97495,7960,733315,94306,125764,37,24,24671,740509,2384328,174041,1062407,0.22,2.03,-12.14,11.65,24.68,2.51,63.77,27.61,7.09,162789,9.8,90163,83984,1840,164414,733433,134423
2023-06-17,HR,465730,318770,20261,63938,25037,37565,68204,92845,274552,4946,790638,107983,181069,79,23,-50272,625390,334062,372838,915841,1.47,1.73,26.82,29.03,21.69,6.59,44.74,16.37,6.31,12255,7.67,118058,278933,3247,70544,887868,361027
2023-06-18,HR,150830,500299,175647,211853,29130,125894,7482,107357,109661,14633,654517,139693,187669,78,102,54572,1593954,3872710,1124010,1953583,1.26,2.4,7.74,45.73,24.03,16.29,40.49,45.03,21.48,479110,7.03,195343,259201,4938,23847,779019,153481
2023-06-19,HR,69621,72568,166293,53333,6776,118045,10768,244100,254636,84180,474996,166331,39420,14,23,81163,3717059,1006421,79572,204840,1.72,1.53,-11.1,-18.25,12.17,-1.02,10.78,30.05,22.45,151474,5.33,149838,231160,1824,136435,805547,259286
2023-06-20,HR,166141,219724,131788,107100,134618,110099,91629,274672,213935,2973,332213,142067,192207,58,102,266501,1938664,515613,1512975,498559,2.19,2.65,-7.39,45.56,3.96,10.11,13.52,19.91,20.76,20698,9.82,116513,290323,3126,113798,709081,198006
2023-06-21,HR,342814,402466,195788,26551,141892,145907,63009,256943,109347,-14956,600429,155855,50805,75,114,112328,3902713,339520,2089248,156222,1.52,3.31,20.43,-16.89,0.58,5.69,47.37,29.5,9.82,102966,8.19,194096,133025,2395,161917,109717,443573
2023-06-22,HR,361188,269412,62695,209614,46058,130943,100560,148169,208765,-6114,146339,127835,157664,97,53,-96767,4456066,2655641,2736359,700823,2.23,0.71,20.94,47.42,3.62,18.95,71.14,17.47,27.82,91071,9.77,22036,261997,2307,138221,832882,14288
2023-06-23,HR,65135,335664,184125,180431,43645,77290,-15861,362273,179603,96478,260318,131681,78701,46,96,-70285,3726943,405739,2237336,700441,0.31,1.39,26.28,12.29,-4.59,0.66,31.78,22.93,30.37,392501,1.93,9956,175029,2809,148089,530316,153471
2023-06-24,HR,458273,443743,55017,28157,104683,95594,58558,100901,88963,-41446,443162,109635,155063,52,46,180152,4131981,2721378,1600094,566637,0.26,0.61,-12.76,-12.43,-0.21,0.63,55.01,33.13,8.19,277095,6.04,128594,159630,4377,39952,783458,263230
2023-06-25,HR,406827,446440,50165,274927,31696,195868,42162,363110,99093,37816,620662,113857,186073,66,88,234068,923870,581650,550630,1721764,0.56,3.44,-28.01,5.71,11.08,-4.9,47.0,48.21,17.57,496162,2.33,10258,211152,3159,156724,745835,330271
2023-06-26,HR,104405,368378,182807,89770,29921,176965,19306,336943,238438,45960,139021,127016,67896,31,59,112738,895969,200368,2684061,1447778,1.2,2.96,5.82,14.56,12.41,0.36,79.11,44.12,18.95,108833,3.47,20896,232053,288,48524,398722,419013
2023-06-27,HR,410967,119531,21597,183636,65052,13962,53484,222653,41710,-31918,393152,92659,43462,67,17,-50107,3723459,1746204,100797,747552,2.48,3.3,-9.28,38.73,13.93,0.43,41.41,7.62,6.28,28521,8.66,101678,158957,4621,136066,91330,117163
2023-06-28,HR,248988,507665,177767,275584,133442,133114,-18881,64861,195989,63045,349047,153791,38797,108,108,110667,2114209,2322618,2923866,1722921,1.67,3.24,-21.5,6.74,15.27,-3.1,11.03,34.95,20.62,268759,5.24,112945,276481,387,192589,348315,423528
2023-06-29,HR,397649,385021,58961,127203,145856,36120,77453,372330,109883,43389,897366,68935,69705,48,47,60582,2681276,2562971,1567210,871846,2.1,2.21,-14.09,2.11,16.44,-0.39,26.09,18.53,36.25,362205,1.46,98631,103430,1541,189243,163071,311590
2023-06-30,HR,487435,82980,154837,104702,68887,133418,-12530,384479,268928,69180,746290,123640,133700,10,83,297910,2251459,2029698,1109066,1099215,2.1,1.23,-21.15,40.03,-9.17,7.82,69.11,30.89,36.63,179095,2.76,5065,95779,1819,154129,97194,359768
2023-07-01,HR,409862,333323,40097,28871,122116,121015,6875,154291,200574,48789,436329,48035,73214,36,56,193551,247176,1910743,363720,1936411,0.86,2.72,-2.98,49.48,15.28,-1.23,25.01,40.23,28.43,23287,7.1,128490,232978,363,186114,527782,80365
2023-07-02,HR,332909,538220,172949,25757,88203,125492,95318,318681,290992,-30908,736115,93944,187254,69,47,-19763,2669997,2186405,1214470,522449,1.57,0.85,6.61,31.96,14.04,-2.12,35.81,15.25,26.25,318606,8.59,44867,135579,2962,179319,647958,433441
2023-07-03,HR,318442,274228,98469,263660,108050,66363,141987,349510,268212,93591,966799,13378,21403,104,56,124234,3075889,1065180,1092285,1392462,1.37,0.54,-16.36,-18.46,-6.85,-4.95,75.18,8.11,8.4,314388,5.06,57743,210597,3301,183418,674801,199353
2023-07-04,HR,211763,338572,41508,33691,72317,73373,140840,87453,228367,-37659,765473,51028,14379,57,104,260120,528461,639524,1812835,838525,2.39,1.15,-27.88,12.8,2.15,1.32,73.89,49.55,6.65,325055,5.69,93449,205079,1344,126767,300580,218960
2023-07-05,HR,368290,63455,122893,109821,13992,171467,98403,357010,109491,-29217,970126,87474,88837,64,84,37397,3122110,3491165,2037430,949577,2.1,1.73,-24.66,-3.92,12.6,11.63,77.23,49.1,33.04,272287,3.86,141962,39093,4774,76942,281781,444701
2023-07-06,HR,328141,109754,163203,80690,24141,23582,18712,292856,221173,-34481,414262,23901,80075,78,67,30728,668165,3710738,559611,950709,2.85,3.14,23.37,12.93,22.43,-2.1,70.34,14.77,5.56,220683,2.7,67563,192423,4412,165196,501546,215295
2023-07-07,HR,246591,105279,71078,256492,118184,104392,90666,242303,296744,47536,281248,188865,121628,34,112,-4068,4518527,366646,2104931,359218,1.0,1.87,26.69,49.38,23.82,3.08,15.02,31.9,19.44,102884,9.46,193115,184006,365,52385,654917,61845
2023-07-08,HR,148443,392746,51271,71348,119962,195292,123923,281621,298567,44914,642418,7786,169622,76,16,266546,3607455,2109735,394232,39603,0.45,2.36,-19.62,34.48,-4.69,11.78,75.46,21.05,9.38,54914,7.58,22047,52418,2685,49414,408879,443374
2023-07-09,HR,150383,344664,23327,292580,20904,199037,125595,93303,126084,-21531,736682,136885,16116,45,74,94803,4737312,1276433,2809427,1585630,2.88,1.25,16.56,-6.46,23.35,3.51,32.61,19.15,20.67,76552,9.54,164175,42693,449,109313,354101,318815
2023-07-10,HR,201393,341905,179686,157112,96157,23654,92679,308665,178243,45541,86685,166799,85746,29,29,77830,721124,3886325,1554481,1259111,1.01,1.41,-3.1,41.1,7.15,-3.4,35.45,25.74,10.81,480869,2.53,171142,140344,1545,102911,112735,280850
2023-07-11,HR,284105,88591,128700,261741,143250,144861,108249,141581,77826,-41124,303333,172571,110107,89,105,180108,920651,1002626,2946646,314814,0.36,0.9,8.27,33.8,-9.13,10.81,58.74,17.06,39.39,343647,8.21,168396,273479,2987,56589,667301,166558
2023-07-12,HR,159330,182873,114256,19890,67765,20900,110152,203015,161612,74830,797498,103778,34371,107,103,-89828,840359,2233307,175154,936760,3.0,1.22,21.88,24.87,-0.38,0.11,41.29,10.94,13.51,440998,9.31,128148,10205,3715,160702,747292,450917
2023-07-13,HR,216373,107408,100439,95741,135063,119923,125588,273433,195358,80159,772055,104584,116594,96,57,-97763,3065893,1638386,1641031,1107136,1.41,1.87,-0.23,28.92,-0.81,-4.83,56.86,45.17,36.78,142642,2.14,52866,146532,2653,193461,412462,106339
2023-07-14,HR,226111,428073,181037,261222,51525,32661,136201,34615,288609,4498,813958,134947,102138,10,38,272814,1222168,2367687,2684104,906722,2.64,0.85,6.65,2.53,-6.34,5.92,25.67,6.89,14.65,228667,8.1,81786,293102,3124,142634,758530,276664
2023-07-15,HR,145626,126124,192842,123804,141601,31630,26995,394864,49917,93358,311724,47541,23351,52,84,249349,1607212,2498752,1255390,890368,2.84,3.5,-28.18,23.61,2.73,11.91,61.83,37.25,8.67,263372,6.83,83369,215817,2890,119729,985324,97241
2023-07-16,HR,386698,536549,164888,181522,112591,110229,144957,89758,260968,1358,742676,91564,87979,101,79,263964,451472,3768997,2142097,174744,2.99,1.48,-3.15,34.48,7.1,14.85,31.45,42.38,9.84,491342,9.83,30260,193777,1586,198126,578285,35390
2023-07-17,HR,95850,174613,55011,194753,49451,120037,101619,55705,78769,-48865,501681,162591,81249,69,16,213015,1786377,2856744,2246694,1523293,1.11,1.56,3.44,5.06,2.19,2.39,79.15,37.29,27.63,457069,9.51,6510,85384,4754,99774,37735,253822
2023-07-18,HR,162056,245285,165109,152135,103361,31187,96719,92334,36575,-23556,433653,184302,42004,61,18,276719,1045898,1792645,2712370,1160218,0.78,2.69,5.24,3.85,23.14,-1.56,66.11,47.44,34.32,367728,2.53,172702,63729,1099,111708,531615,325377
